CHR_UID,CHR_NAME,CAS,FRACTION,DU,WBODY,WGROUP,ECOLI_SINGLE,SC_WQC,TEMP_WQC,LT,GT,HD_METAL,TOXIC,TURBAP,DWS,IRR,LW,WH,ACUTE,CHRONIC,HH,PERSISTENT,UNITS,ATTAINS CAUSE_GROUP_NAME,ATTAINS CAUSE_ID,ADB_CAUSE_NO,Comments (SCB)
28,"1,1-Dichloroethylene",75-35-4,,ColdWAL,,,,,,,,N,Y,N,7,,,,,,20000,,ug/l,TOXIC ORGANICS,1130,419,
28,"1,1-Dichloroethylene",75-35-4,,CoolWAL,,,,,,,,N,Y,N,7,,,,,,20000,,ug/l,TOXIC ORGANICS,1130,419,
28,"1,1-Dichloroethylene",75-35-4,,HQColdWAL,,,,,,,,N,Y,N,7,,,,,,20000,,ug/l,TOXIC ORGANICS,1130,419,
28,"1,1-Dichloroethylene",75-35-4,,MCWAL,,,,,,,,N,Y,N,7,,,,,,20000,,ug/l,TOXIC ORGANICS,1130,419,
28,"1,1-Dichloroethylene",75-35-4,,MWWAL,,,,,,,,N,Y,N,7,,,,,,20000,,ug/l,TOXIC ORGANICS,1130,419,
28,"1,1-Dichloroethylene",75-35-4,,WWAL,,,,,,,,N,Y,N,7,,,,,,20000,,ug/l,TOXIC ORGANICS,1130,419,
58,"1,2,4-Trichlorobenzene",120-82-1,,ColdWAL,,,,,,,,N,Y,N,70,,,,,,0.76,,ug/l,TOXIC ORGANICS,10,14,
58,"1,2,4-Trichlorobenzene",120-82-1,,CoolWAL,,,,,,,,N,Y,N,70,,,,,,0.76,,ug/l,TOXIC ORGANICS,10,14,
58,"1,2,4-Trichlorobenzene",120-82-1,,HQColdWAL,,,,,,,,N,Y,N,70,,,,,,0.76,,ug/l,TOXIC ORGANICS,10,14,
58,"1,2,4-Trichlorobenzene",120-82-1,,MCWAL,,,,,,,,N,Y,N,70,,,,,,0.76,,ug/l,TOXIC ORGANICS,10,14,
58,"1,2,4-Trichlorobenzene",120-82-1,,MWWAL,,,,,,,,N,Y,N,70,,,,,,0.76,,ug/l,TOXIC ORGANICS,10,14,
58,"1,2,4-Trichlorobenzene",120-82-1,,WWAL,,,,,,,,N,Y,N,70,,,,,,0.76,,ug/l,TOXIC ORGANICS,10,14,
65,"1,2-Dichloroethane",107-06-2,,ColdWAL,,,,,,,,N,Y,N,5,,,,,,6500,,ug/l,PESTICIDES,15,19,
65,"1,2-Dichloroethane",107-06-2,,CoolWAL,,,,,,,,N,Y,N,5,,,,,,6500,,ug/l,PESTICIDES,15,19,
65,"1,2-Dichloroethane",107-06-2,,HQColdWAL,,,,,,,,N,Y,N,5,,,,,,6500,,ug/l,PESTICIDES,15,19,
65,"1,2-Dichloroethane",107-06-2,,MCWAL,,,,,,,,N,Y,N,5,,,,,,6500,,ug/l,PESTICIDES,15,19,
65,"1,2-Dichloroethane",107-06-2,,MWWAL,,,,,,,,N,Y,N,5,,,,,,6500,,ug/l,PESTICIDES,15,19,
65,"1,2-Dichloroethane",107-06-2,,WWAL,,,,,,,,N,Y,N,5,,,,,,6500,,ug/l,PESTICIDES,15,19,
67,"1,2-Dichloropropane",78-87-5,,ColdWAL,,,,,,,,N,Y,N,5,,,,,,310,,ug/l,PESTICIDES,17,21,
67,"1,2-Dichloropropane",78-87-5,,CoolWAL,,,,,,,,N,Y,N,5,,,,,,310,,ug/l,PESTICIDES,17,21,
67,"1,2-Dichloropropane",78-87-5,,HQColdWAL,,,,,,,,N,Y,N,5,,,,,,310,,ug/l,PESTICIDES,17,21,
67,"1,2-Dichloropropane",78-87-5,,MCWAL,,,,,,,,N,Y,N,5,,,,,,310,,ug/l,PESTICIDES,17,21,
67,"1,2-Dichloropropane",78-87-5,,MWWAL,,,,,,,,N,Y,N,5,,,,,,310,,ug/l,PESTICIDES,17,21,
67,"1,2-Dichloropropane",78-87-5,,WWAL,,,,,,,,N,Y,N,5,,,,,,310,,ug/l,PESTICIDES,17,21,
72,"1,2-Diphenylhydrazine",122-66-7,,ColdWAL,,,,,,,,N,Y,N,0.44,,,,,,2,,ug/l,TOXIC ORGANICS,19,22,"Added DWS criteria from WQS table, previously blank in spreadsheet. "
72,"1,2-Diphenylhydrazine",122-66-7,,CoolWAL,,,,,,,,N,Y,N,0.44,,,,,,2,,ug/l,TOXIC ORGANICS,19,22,"Added DWS criteria from WQS table, previously blank in spreadsheet. "
72,"1,2-Diphenylhydrazine",122-66-7,,HQColdWAL,,,,,,,,N,Y,N,0.44,,,,,,2,,ug/l,TOXIC ORGANICS,19,22,"Added DWS criteria from WQS table, previously blank in spreadsheet. "
72,"1,2-Diphenylhydrazine",122-66-7,,MCWAL,,,,,,,,N,Y,N,0.44,,,,,,2,,ug/l,TOXIC ORGANICS,19,22,"Added DWS criteria from WQS table, previously blank in spreadsheet. "
72,"1,2-Diphenylhydrazine",122-66-7,,MWWAL,,,,,,,,N,Y,N,0.44,,,,,,2,,ug/l,TOXIC ORGANICS,19,22,"Added DWS criteria from WQS table, previously blank in spreadsheet. "
72,"1,2-Diphenylhydrazine",122-66-7,,WWAL,,,,,,,,N,Y,N,0.44,,,,,,2,,ug/l,TOXIC ORGANICS,19,22,"Added DWS criteria from WQS table, previously blank in spreadsheet. "
80,"1,3-Dichloropropene",542-75-6,,ColdWAL,,,,,,,,N,Y,N,3.5,,,,,,120,,ug/l,PESTICIDES,22,24,
80,"1,3-Dichloropropene",542-75-6,,CoolWAL,,,,,,,,N,Y,N,3.5,,,,,,120,,ug/l,PESTICIDES,22,24,
80,"1,3-Dichloropropene",542-75-6,,HQColdWAL,,,,,,,,N,Y,N,3.5,,,,,,120,,ug/l,PESTICIDES,22,24,
80,"1,3-Dichloropropene",542-75-6,,MCWAL,,,,,,,,N,Y,N,3.5,,,,,,120,,ug/l,PESTICIDES,22,24,
80,"1,3-Dichloropropene",542-75-6,,MWWAL,,,,,,,,N,Y,N,3.5,,,,,,120,,ug/l,PESTICIDES,22,24,
80,"1,3-Dichloropropene",542-75-6,,WWAL,,,,,,,,N,Y,N,3.5,,,,,,120,,ug/l,PESTICIDES,22,24,
316,"2,4,6-Trichlorophenol",88-06-2,,ColdWAL,,,,,,,,N,Y,N,32,,,,,,28,,ug/l,TOXIC ORGANICS,32,33,
316,"2,4,6-Trichlorophenol",88-06-2,,CoolWAL,,,,,,,,N,Y,N,32,,,,,,28,,ug/l,TOXIC ORGANICS,32,33,
316,"2,4,6-Trichlorophenol",88-06-2,,HQColdWAL,,,,,,,,N,Y,N,32,,,,,,28,,ug/l,TOXIC ORGANICS,32,33,
316,"2,4,6-Trichlorophenol",88-06-2,,MCWAL,,,,,,,,N,Y,N,32,,,,,,28,,ug/l,TOXIC ORGANICS,32,33,
316,"2,4,6-Trichlorophenol",88-06-2,,MWWAL,,,,,,,,N,Y,N,32,,,,,,28,,ug/l,TOXIC ORGANICS,32,33,
316,"2,4,6-Trichlorophenol",88-06-2,,WWAL,,,,,,,,N,Y,N,32,,,,,,28,,ug/l,TOXIC ORGANICS,32,33,
330,"2,4-Dichlorophenol",120-83-2,,ColdWAL,,,,,,,,N,Y,N,105,,,,,,60,,ug/l,TOXIC ORGANICS,35,36,
330,"2,4-Dichlorophenol",120-83-2,,CoolWAL,,,,,,,,N,Y,N,105,,,,,,60,,ug/l,TOXIC ORGANICS,35,36,
330,"2,4-Dichlorophenol",120-83-2,,HQColdWAL,,,,,,,,N,Y,N,105,,,,,,60,,ug/l,TOXIC ORGANICS,35,36,
330,"2,4-Dichlorophenol",120-83-2,,MCWAL,,,,,,,,N,Y,N,105,,,,,,60,,ug/l,TOXIC ORGANICS,35,36,
330,"2,4-Dichlorophenol",120-83-2,,MWWAL,,,,,,,,N,Y,N,105,,,,,,60,,ug/l,TOXIC ORGANICS,35,36,
330,"2,4-Dichlorophenol",120-83-2,,WWAL,,,,,,,,N,Y,N,105,,,,,,60,,ug/l,TOXIC ORGANICS,35,36,
331,"2,4-Dimethylphenol",105-67-9,,ColdWAL,,,,,,,,N,Y,N,700,,,,,,3000,,ug/l,TOXIC ORGANICS,36,37,
331,"2,4-Dimethylphenol",105-67-9,,CoolWAL,,,,,,,,N,Y,N,700,,,,,,3000,,ug/l,TOXIC ORGANICS,36,37,
331,"2,4-Dimethylphenol",105-67-9,,HQColdWAL,,,,,,,,N,Y,N,700,,,,,,3000,,ug/l,TOXIC ORGANICS,36,37,
331,"2,4-Dimethylphenol",105-67-9,,MCWAL,,,,,,,,N,Y,N,700,,,,,,3000,,ug/l,TOXIC ORGANICS,36,37,
331,"2,4-Dimethylphenol",105-67-9,,MWWAL,,,,,,,,N,Y,N,700,,,,,,3000,,ug/l,TOXIC ORGANICS,36,37,
331,"2,4-Dimethylphenol",105-67-9,,WWAL,,,,,,,,N,Y,N,700,,,,,,3000,,ug/l,TOXIC ORGANICS,36,37,
3029,Dinitrophenols,25550-58-7,,ColdWAL,,,,,,,,N,Y,N,,,,,,,1000,,ug/l,TOXIC ORGANICS,,,Dinitrophenols not previously included in this spreadsheet. Added based on WQC in NMAC
3029,Dinitrophenols,25550-58-7,,CoolWAL,,,,,,,,N,Y,N,,,,,,,1000,,ug/l,TOXIC ORGANICS,,,Dinitrophenols not previously included in this spreadsheet. Added based on WQC in NMAC
3029,Dinitrophenols,25550-58-7,,HQColdWAL,,,,,,,,N,Y,N,,,,,,,1000,,ug/l,TOXIC ORGANICS,,,Dinitrophenols not previously included in this spreadsheet. Added based on WQC in NMAC
3029,Dinitrophenols,25550-58-7,,MCWAL,,,,,,,,N,Y,N,,,,,,,1000,,ug/l,TOXIC ORGANICS,,,Dinitrophenols not previously included in this spreadsheet. Added based on WQC in NMAC
3029,Dinitrophenols,25550-58-7,,MWWAL,,,,,,,,N,Y,N,,,,,,,1000,,ug/l,TOXIC ORGANICS,,,Dinitrophenols not previously included in this spreadsheet. Added based on WQC in NMAC
3029,Dinitrophenols,25550-58-7,,WWAL,,,,,,,,N,Y,N,,,,,,,1000,,ug/l,TOXIC ORGANICS,,,Dinitrophenols not previously included in this spreadsheet. Added based on WQC in NMAC
332,"2,4-Dinitrophenol",51-28-5,,ColdWAL,,,,,,,,N,Y,N,70,,,,,,300,,ug/l,PESTICIDES,37,38,
332,"2,4-Dinitrophenol",51-28-5,,CoolWAL,,,,,,,,N,Y,N,70,,,,,,300,,ug/l,PESTICIDES,37,38,
332,"2,4-Dinitrophenol",51-28-5,,HQColdWAL,,,,,,,,N,Y,N,70,,,,,,300,,ug/l,PESTICIDES,37,38,
332,"2,4-Dinitrophenol",51-28-5,,MCWAL,,,,,,,,N,Y,N,70,,,,,,300,,ug/l,PESTICIDES,37,38,
332,"2,4-Dinitrophenol",51-28-5,,MWWAL,,,,,,,,N,Y,N,70,,,,,,300,,ug/l,PESTICIDES,37,38,
332,"2,4-Dinitrophenol",51-28-5,,WWAL,,,,,,,,N,Y,N,70,,,,,,300,,ug/l,PESTICIDES,37,38,
333,"2,4-Dinitrotoluene",121-14-2,,ColdWAL,,,,,,,,N,Y,N,1.1,,,,,,17,,ug/l,TOXIC ORGANICS,38,39,
