"WATER_ID","DU","Waterbody","TN_SITE_CLASS","TP_SITE_CLASS","ECOREGION","ELEVATION","Criteria_Name","Criteria_Value","CHR_UID","CHR_UID_Unique"
"NM-2112.A_00","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","21d","6499","TEMP_4T3","20",999920,"999920"
"NM-2112.A_00","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","21d","6499","TEMP_WQC","23",2849,"2849"
"NM-2112.A_00","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","21d","6499","PH_LOW","6.6",1648,"1648b"
"NM-2112.A_00","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","21d","6499","PH_HIGH","8.8",1648,"1648a"
"NM-2112.A_00","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","21d","6499","DO_WQC","6",985,"985"
"NM-2112.A_00","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","21d","6499","SC_WQC","300",1815,"1815"
"NM-2112.A_02","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21e","9377","TEMP_4T3","20",999920,"999920"
"NM-2112.A_02","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21e","9377","TEMP_WQC","23",2849,"2849"
"NM-2112.A_02","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21e","9377","PH_LOW","6.6",1648,"1648b"
"NM-2112.A_02","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21e","9377","PH_HIGH","8.8",1648,"1648a"
"NM-2112.A_02","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21e","9377","DO_WQC","6",985,"985"
"NM-2112.A_02","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21e","9377","SC_WQC","300",1815,"1815"
"NM-2112.A_03","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21b","9783","TEMP_4T3","20",999920,"999920"
"NM-2112.A_03","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21b","9783","TEMP_WQC","23",2849,"2849"
"NM-2112.A_03","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21b","9783","PH_LOW","6.6",1648,"1648b"
"NM-2112.A_03","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21b","9783","PH_HIGH","8.8",1648,"1648a"
"NM-2112.A_03","HQColdWAL","STREAM, PERENNIAL","Flat","Flat-Moderate","21b","9783","DO_WQC","6",985,"985"
