CHR_UID,CHR_NAME,WQS_NAME,SortOrder,ShortName,ShortNameOLD,Units,USE,ATTAINS_NAME,ATTAINs_GROUP_ID,ATTAINS_GROUP_NAME,ATTAINS_ID,ADB_NO,ADB_NAME,CAS,STORET,SHORT_CAUSE_NAME
1354002,Molybdenum,"Molybdenum, total recoverable",30,Mo_TR,Mo_TR,mg/l,,MOLYBDENUM,706,METALS (OTHER THAN MERCURY),732,291,Molybdenum,7439-98-7,317,
1354001,Molybdenum,"Molybdenum, dissolved",29,Mo_D,Mo_D,mg/l,,MOLYBDENUM,706,METALS (OTHER THAN MERCURY),732,291,Molybdenum,7439-98-7,317,
1448,Nonylphenol,Nonylphenol,93,Nonylphen,Org_46,ug/l,,NONYLPHENOL,1080,TOXIC ORGANICS,1287,,,84852-15-3,,
1283,Methyl bromide,Methyl bromide,132,Methyl_br,PEST_27,ug/l,,METHYL BROMIDE,885,PESTICIDES,712,280,Methyl bromide,74-83-9,306,
1266002,Mercury,"Mercury, total",39,Hg_T,Hg_T,mg/l,,"MERCURY, TOTAL",693,MERCURY,1286,274,Mercury,7439-97-6,301,Mercury
1266001,Mercury,"mercury, dissolved",40,Hg_D,Hg_D,mg/l,,"MERCURY, DISSOLVED",693,MERCURY,1285,274,Mercury,7439-97-6,301,Mercury
1249,Manganese,"manganese, dissolved",19,Mn_D_HD,Mn_D,mg/l,,MANGANESE,706,METALS (OTHER THAN MERCURY),692,273,Manganese,7439-96-5,300,Manganese
1215,Lead,"lead, dissolved",18,Pb_D_HD,Pb_D,mg/l,,LEAD,706,METALS (OTHER THAN MERCURY),663,267,Lead,7439-92-1,285,Lead
1430,N-Nitrosodiphenylamine,N-Nitrosodiphenylamine,92,N-Nitroso_p,Org_45,ug/l,,N-NITROSODIPHENYLAMINE,1080,TOXIC ORGANICS,739,295,N-Nitrosodiphenylamine,86-30-6,341,
1173,"Indeno[1,2,3-cd]pyrene",INDENO,130,INDENO,PEST_25,ug/l,,"INDENO[1,2,3-CD]PYRENE",885,PESTICIDES,641,259,"Indeno[1,2,3-cd]pyrene",193-39-5,412,
1429,N-Nitrosodi-n-propylamine,N-Nitrosodi-n-propylamine,91,N-Nitroso_n,Org_44,ug/l,,N-NITROSODIPROPYLAMINE,1080,TOXIC ORGANICS,740,296,N-Nitrosodipropylamine,621-64-7,406,
1427,N-Nitrosodimethylamine,N-Nitrosodimethylamine,90,N-Nitroso_m,Org_43,ug/l,,N-NITROSODIMETHYLAMINE,1080,TOXIC ORGANICS,738,294,N-Nitrosodimethylamine,62-75-9,340,
1403,Nitrobenzene,Nitrobenzene,89,Nitrobenz,Org_42,ug/l,,NITROBENZENE,1080,TOXIC ORGANICS,765,304,Nitrobenzene,98-95-3,326,
1115,Hexachlorobenzene,Hexachlorobenzene,129,Hexachlor,PEST_24,ug/l,,HEXACHLOROBENZENE,885,PESTICIDES,607,246,Hexachlorobenzene,118-74-1,264,
1105,Heptachlor epoxide,Heptachlor epoxide,128,Heptachlo_epo,PEST_23,ug/l,,HEPTACHLOR EPOXIDE,885,PESTICIDES,603,245,Heptachlor epoxide,1024-57-3,263,
1104,Heptachlor,Heptachlor,127,Heptachlo,PEST_22,ug/l,,HEPTACHLOR,885,PESTICIDES,602,244,Heptachlor,76-44-8,262,
1235,Lindane,Gamma-BHC (Lindane),131,Gamma-BHC,PEST_26,ug/l,,LINDANE,885,PESTICIDES,667,268,Lindane,58-89-9,294,
1328,Methylene chloride,Methylene chloride,88,Methylene,Org_41,ug/l,,DICHLOROMETHANE,1080,TOXIC ORGANICS,413,194,Dichloromethane,75-09-2,311,
1263,m-Dichlorobenzene,"1,3-Dichlorobenzene",87,"1,3-Dichl",Org_40,ug/l,,M-DICHLOROBENZENE,1080,TOXIC ORGANICS,683,429,m-Dichlorobenzene,541-73-1,171,
1199,Isophorone,Isophorone,86,Isophoron,Org_39,ug/l,,ISOPHORONE,1080,TOXIC ORGANICS,653,262,Isophorone,78-59-1,280,
1004,Endrin aldehyde,Endrin aldehyde,126,Endrin_al,PEST_21,ug/l,,ENDRIN ALDEHYDE,885,PESTICIDES,463,214,Endrin aldehyde,7421-93-4,226,
1003,Endrin,Endrin,125,Endrin,PEST_20,ug/l,,ENDRIN,885,PESTICIDES,462,213,Endrin,72-20-8,225,
1001,Endosulfan sulfate,Endosulfan sulfate,124,Endosulfa,PEST_19,ug/l,,ENDOSULFAN SULFATE,885,PESTICIDES,460,211,Endosulfan sulfate,1031-07-8,222,
2287,Escherichia coli,E. coli,1,ECOLI,ECOLI,MPN/100mL,,ESCHERICHIA COLI (E. COLI),861,PATHOGENS,471,217,E. coli,68583-22-2,9780,E. coli
985,Dissolved oxygen (DO),"DO conc, grab",3,DO,DO,mg/l,AL,DISSOLVED OXYGEN,1189,ORGANIC ENRICHMENT/OXYGEN DEPLETION,449,322,"Oxygen, Dissolved",,201,Dissolved Oxygen
973,"Dioxin + furan mix, unspecified",Dioxin,48,Dioxin,Org_58,ug/l,,"DIOXIN (INCLUDING 2,3,7,8-TCDD)",435,DIOXINS,430,203,"Dioxin (including 2,3,7,8-TCDD)",1746-01-6,198,
957,Dimethyl phthalate,Dimethyl phthalate,123,Dimethyl ,PEST_18,ug/l,,DIMETHYL PHTHALATE,885,PESTICIDES,424,200,Dimethyl phthalate,131-11-3,385,
1123,Hexachloroethane,Hexachloroethane,85,Hexachl_eth,Org_38,ug/l,,HEXACHLOROETHANE,1080,TOXIC ORGANICS,614,252,Hexachloroethane,67-72-1,267,
934,Dieldrin,Dieldrin,122,Dieldrin,PEST_17,ug/l,,DIELDRIN,885,PESTICIDES,417,198,Dieldrin,60-57-1,192,
1121,Hexachlorocyclopentadiene,Hexachlorocyclopentadiene,84,Hexachl_cyc,Org_36,ug/l,,HEXACHLOROCYCLOPENTADIENE,1080,TOXIC ORGANICS,613,251,Hexachlorocyclopentadiene,77-47-4,266,
899,Dibutyl phthalate,Dibutyl phthalate,121,Dibutyl p,PEST_16,ug/l,,DIBUTYL PHTHALATE,885,PESTICIDES,403,190,Dibutyl phthalate,84-74-2,381,
1118,Hexachlorobutadiene,Hexachlorobutadiene,83,Hexachl_but,Org_35,ug/l,,HEXACHLOROBUTADIENE,1080,TOXIC ORGANICS,609,247,Hexachlorobutadiene,87-68-3,265,
885,Diazinon,Diazinon,120,Diazinon,PEST_15,ug/l,,DIAZINON,885,PESTICIDES,400,187,Diazinon,,161,
881,Di(2-ethylhexyl) phthalate,Di(2-ethylhexyl) phthalate,119,Di(2-eth,PEST_14,ug/l,,DEHP (DI-SEC-OCTYL PHTHALATE),885,PESTICIDES,385,178,DEHP (Di-sec-octyl phthalate),117-81-7,386,
842,Cyanide,"Cyanide, total recoverable",36,Cyan_TR,Cyan_TR,mg/l,,CYANIDE,1079,TOXIC INORGANICS,354,168,Cyanide (weak acid dissociable),57-12-5,146,
832,Copper,"Copper, dissolved",17,Cu_D_HD,Cu_D,mg/l,,COPPER,706,METALS (OTHER THAN MERCURY),345,163,Copper,7440-50-8,140,Copper
827,Cobalt,"Cobalt, dissolved",28,Co_D,Co_D,mg/l,,COBALT,706,METALS (OTHER THAN MERCURY),318,159,Cobalt,7440-48-4,135,
1066,Fluorene,Fluorene,82,Fluorene,Org_34,ug/l,,FLUORENE,1080,TOXIC ORGANICS,554,233,Fluorene,86-73-7,248,
809,Chromium,"Chromium, dissolved",25,Cr_D,Cr_D,mg/l,,CHROMIUM,706,METALS (OTHER THAN MERCURY),296,154,Chromium (total),7440-47-3,127,
810,Chromium(III),Chromium(III),26,Cr_III_HD,Cr_III,mg/l,,"CHROMIUM, TRIVALENT",706,METALS (OTHER THAN MERCURY),303,156,"Chromium, trivalent",,129,
811,Chromium(VI),"Chromium VI, dissolved",27,Cr_IV_D,Cr(IV)_D,mg/l,,CHROMIUM VI,706,METALS (OTHER THAN MERCURY),300,155,"Chromium, hexavalent",18540-29-9,128,
1064,Fluoranthene,Fluoranthene,81,Fluoranth,Org_33,ug/l,,FLUORANTHENE,1080,TOXIC ORGANICS,553,232,Fluoranthene,206-44-0,245,
1030,Ethylbenzene,Ethylbenzene,80,Ethylbenz,Org_32,ug/l,,ETHYLBENZENE,1080,TOXIC ORGANICS,476,221,Ethylbenzene,100-41-4,232,
938,Diethyl phthalate,Diethyl phthalate,79,Diethyl_p,Org_31,ug/l,,DIETHYL PHTHALATE,1080,TOXIC ORGANICS,423,199,Diethyl phthalate,84-66-2,382,
774,Chlorine,chlorine residual,11,Cl_Res,Cl_Res,mg/l,,CHLORINE,277,CHLORINE,277,139,Chlorine,7782-50-5,108,Chlorine
773,Chloride,Chloride,9,CHL,CHL,mg/l,,CHLORIDE,966,SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES,272,,,16887-00-6,,
767,Chlordane,Chlordane,118,Chlordane,PEST_13,ug/l,,CHLORDANE,885,PESTICIDES,267,137,Chlordane,,99,Chlordane
917,Dichlorobromomethane,Dichlorobromomethane,78,Dichlorob,Org_30,ug/l,,DICHLOROBROMOMETHANE,1080,TOXIC ORGANICS,406,192,Dichlorobromomethane,75-27-4,174,
725,Cadmium,"cadmium, dissolved",16,Cd_D_HD,Cd_D,mg/l,,CADMIUM,706,METALS (OTHER THAN MERCURY),239,127,Cadmium,7440-43-9,74,Cadmium
886,"Dibenz[a,h]anthracene","Dibenzo(a,h)anthracene",77,Dibenzo(a,Org_29,ug/l,,"DIBENZ[A,H]ANTHRACENE",1080,TOXIC ORGANICS,402,188,"Dibenz[a,h]anthracene",53-70-3,162,
