"WATER_ID","DU","Waterbody","TN_SITE_CLASS","TP_SITE_CLASS","ECOREGION","ELEVATION","Criteria_Name","Criteria_Value","CHR_UID","CHR_UID_Unique"
"NM-2801_00","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","24a","4487","ECOLI_GEOMEAN","206",2287,"2287a"
"NM-2801_00","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","24a","4487","ECOLI_SINGLE","940",2287,"2287b"
"NM-2801_00","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","24a","4487","PH_LOW","6.6",1648,"1648b"
"NM-2801_00","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","24a","4487","PH_HIGH","9",1648,"1648a"
"NM-2801_01","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23a","5479","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2801_01","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23a","5479","ECOLI_SINGLE","235",2287,"2287b"
"NM-2801_01","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23a","5479","PH_LOW","6.6",1648,"1648b"
"NM-2801_01","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23a","5479","PH_HIGH","8.8",1648,"1648a"
"NM-2801_10","PC","STREAM, PERENNIAL","Moderate","Steep","23b","5774","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2801_10","PC","STREAM, PERENNIAL","Moderate","Steep","23b","5774","ECOLI_SINGLE","235",2287,"2287b"
"NM-2801_10","PC","STREAM, PERENNIAL","Moderate","Steep","23b","5774","PH_LOW","6.6",1648,"1648b"
"NM-2801_10","PC","STREAM, PERENNIAL","Moderate","Steep","23b","5774","PH_HIGH","8.8",1648,"1648a"
"NM-2801_20","PC","STREAM, PERENNIAL","Steep","Steep","23a","4521","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2801_20","PC","STREAM, PERENNIAL","Steep","Steep","23a","4521","ECOLI_SINGLE","235",2287,"2287b"
"NM-2801_20","PC","STREAM, PERENNIAL","Steep","Steep","23a","4521","PH_LOW","6.6",1648,"1648b"
"NM-2801_20","PC","STREAM, PERENNIAL","Steep","Steep","23a","4521","PH_HIGH","9",1648,"1648a"
"NM-2801_40","PC","STREAM, INTERMITTENT","Steep","Steep","23b","6201","ECOLI_GEOMEAN","206",2287,"2287a"
"NM-2801_40","PC","STREAM, INTERMITTENT","Steep","Steep","23b","6201","ECOLI_SINGLE","940",2287,"2287b"
"NM-2801_40","PC","STREAM, INTERMITTENT","Steep","Steep","23b","6201","PH_LOW","6.6",1648,"1648b"
"NM-2801_40","PC","STREAM, INTERMITTENT","Steep","Steep","23b","6201","PH_HIGH","9",1648,"1648a"
"NM-2801_41","PC","STREAM, PERENNIAL","Moderate","Steep","23a","5144","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2801_41","PC","STREAM, PERENNIAL","Moderate","Steep","23a","5144","ECOLI_SINGLE","235",2287,"2287b"
"NM-2801_41","PC","STREAM, PERENNIAL","Moderate","Steep","23a","5144","PH_LOW","6.6",1648,"1648b"
"NM-2801_41","PC","STREAM, PERENNIAL","Moderate","Steep","23a","5144","PH_HIGH","8.8",1648,"1648a"
"NM-2801_42","PC","STREAM, PERENNIAL","Steep","Steep","23f","6942","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2801_42","PC","STREAM, PERENNIAL","Steep","Steep","23f","6942","ECOLI_SINGLE","235",2287,"2287b"
"NM-2801_42","PC","STREAM, PERENNIAL","Steep","Steep","23f","6942","PH_LOW","6.6",1648,"1648b"
"NM-2801_42","PC","STREAM, PERENNIAL","Steep","Steep","23f","6942","PH_HIGH","8.8",1648,"1648a"
"NM-2801_43","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23a","5604","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2801_43","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23a","5604","ECOLI_SINGLE","235",2287,"2287b"
"NM-2801_43","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23a","5604","PH_LOW","6.6",1648,"1648b"
"NM-2801_43","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23a","5604","PH_HIGH","8.8",1648,"1648a"
"NM-2801_44","PC","STREAM, PERENNIAL","Moderate","Steep","23a","5486","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2801_44","PC","STREAM, PERENNIAL","Moderate","Steep","23a","5486","ECOLI_SINGLE","235",2287,"2287b"
"NM-2801_44","PC","STREAM, PERENNIAL","Moderate","Steep","23a","5486","PH_LOW","6.6",1648,"1648b"
"NM-2801_44","PC","STREAM, PERENNIAL","Moderate","Steep","23a","5486","PH_HIGH","8.8",1648,"1648a"
"NM-2802_00","PC","STREAM, PERENNIAL",,,"24a","4514","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2802_00","PC","STREAM, PERENNIAL",,,"24a","4514","ECOLI_SINGLE","235",2287,"2287b"
"NM-2802_00","PC","STREAM, PERENNIAL",,,"24a","4514","PH_LOW","6.6",1648,"1648b"
"NM-2802_00","PC","STREAM, PERENNIAL",,,"24a","4514","PH_HIGH","8.8",1648,"1648a"
"NM-2802_01","PC","STREAM, PERENNIAL","Steep","Steep","23b","6358","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2802_01","PC","STREAM, PERENNIAL","Steep","Steep","23b","6358","ECOLI_SINGLE","235",2287,"2287b"
"NM-2802_01","PC","STREAM, PERENNIAL","Steep","Steep","23b","6358","PH_LOW","6.6",1648,"1648b"
"NM-2802_01","PC","STREAM, PERENNIAL","Steep","Steep","23b","6358","PH_HIGH","8.8",1648,"1648a"
"NM-2805_00","PC","STREAM, INTERMITTENT",,,"23f","7697","ECOLI_GEOMEAN","206",2287,"2287a"
"NM-2805_00","PC","STREAM, INTERMITTENT",,,"23f","7697","ECOLI_SINGLE","940",2287,"2287b"
"NM-2805_00","PC","STREAM, INTERMITTENT",,,"23f","7697","PH_LOW","6.6",1648,"1648b"
"NM-2805_00","PC","STREAM, INTERMITTENT",,,"23f","7697","PH_HIGH","9",1648,"1648a"
"NM-2805_01","PC","STREAM, INTERMITTENT",,,"23f","7710","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2805_01","PC","STREAM, INTERMITTENT",,,"23f","7710","ECOLI_SINGLE","410",2287,"2287b"
"NM-2805_01","PC","STREAM, INTERMITTENT",,,"23f","7710","PH_LOW","6.6",1648,"1648b"
"NM-2805_01","PC","STREAM, INTERMITTENT",,,"23f","7710","PH_HIGH","9",1648,"1648a"
"NM-2805_02","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7822","ECOLI_GEOMEAN","126",2287,"2287a"
"NM-2805_02","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7822","ECOLI_SINGLE","410",2287,"2287b"
"NM-2805_02","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7822","PH_LOW","6.6",1648,"1648b"
"NM-2805_02","PC","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7822","PH_HIGH","9",1648,"1648a"
"NM-9000.B_113","PC","LAKE, PLAYA",,,"24a","4012","ECOLI_GEOMEAN","206",2287,"2287a"
"NM-9000.B_113","PC","LAKE, PLAYA",,,"24a","4012","ECOLI_SINGLE","940",2287,"2287b"
"NM-9000.B_113","PC","LAKE, PLAYA",,,"24a","4012","PH_LOW","6.6",1648,"1648b"
"NM-9000.B_113","PC","LAKE, PLAYA",,,"24a","4012","PH_HIGH","9",1648,"1648a"
"NM-98.A_007","PC","STREAM, INTERMITTENT",,,"23f","7267","ECOLI_GEOMEAN","206",2287,"2287a"
"NM-98.A_007","PC","STREAM, INTERMITTENT",,,"23f","7267","ECOLI_SINGLE","940",2287,"2287b"
"NM-98.A_007","PC","STREAM, INTERMITTENT",,,"23f","7267","PH_LOW","6.6",1648,"1648b"
"NM-98.A_007","PC","STREAM, INTERMITTENT",,,"23f","7267","PH_HIGH","9",1648,"1648a"
"NM-98.A_008","PC","STREAM, INTERMITTENT","Moderate","Flat-Moderate","23f","6805","ECOLI_GEOMEAN","206",2287,"2287a"
"NM-98.A_008","PC","STREAM, INTERMITTENT","Moderate","Flat-Moderate","23f","6805","ECOLI_SINGLE","940",2287,"2287b"
"NM-98.A_008","PC","STREAM, INTERMITTENT","Moderate","Flat-Moderate","23f","6805","PH_LOW","6.6",1648,"1648b"
"NM-98.A_008","PC","STREAM, INTERMITTENT","Moderate","Flat-Moderate","23f","6805","PH_HIGH","9",1648,"1648a"
"NM-98.A_009","SC","STREAM, EPHEMERAL",,,"23f","6860","ECOLI_GEOMEAN","548",2287,"2287a"
"NM-98.A_009","SC","STREAM, EPHEMERAL",,,"23f","6860","ECOLI_SINGLE","2507",2287,"2287b"
"NM-98.A_017","PC","STREAM, INTERMITTENT","Steep","Steep","23f","7323","ECOLI_GEOMEAN","206",2287,"2287a"
"NM-98.A_017","PC","STREAM, INTERMITTENT","Steep","Steep","23f","7323","ECOLI_SINGLE","940",2287,"2287b"
"NM-98.A_017","PC","STREAM, INTERMITTENT","Steep","Steep","23f","7323","PH_LOW","6.6",1648,"1648b"
"NM-98.A_017","PC","STREAM, INTERMITTENT","Steep","Steep","23f","7323","PH_HIGH","9",1648,"1648a"
