"WATER_ID","WATER_NAME","PROJECT_NAME","STATION","STATION_NAME","SAMPLING_EVENT_TYPE","DATE","TIME","ACTIVITY_TYPE","SAMPLE_TYPE","FLT_10UG","SAMPLE_FRACTION","CHR_UID","CHARACTERISTIC_NAME","MEASUREMENT","MEASUREMENT_num","UNITS","LESS_THAN_YN","ASSESSABILITY_QUALIFIER_CODE","ACT_START_DATE","ACT_END_DATE"
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","2005","Zinc","0.01",0.01,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","2287","Escherichia coli","980.39",980.39,"MPN100mL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","2414","Nitrogen, ammonia as N","0.05",0.05,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Field Msr/Obs","Surface Water","Y",,"2849","Temperature, water","6.67",6.67,"DegC","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","4528","Total Hardness","75",75,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","549001","Aluminum","0.01",0.01,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","549002","Aluminum","0.22",0.22,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","570","Antimony","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","591","Arsenic","2E-3",0.002,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","611","Barium","3.4000000000000002E-2",0.034,"mgL","N",,,
