"CHR_UID","CHR_NAME","FRACTION","DU","Waterbody","PERSISTENT","HD_METAL","TOXIC","TURBAP","UNITS","Criteria_Type","Magnitude_Numeric"
"28","1,1-Dichloroethylene",,"MCWAL",,,"N","Y","N","ugL","HH",20000
"28","1,1-Dichloroethylene",,"MWWAL",,,"N","Y","N","ugL","HH",20000
"28","1,1-Dichloroethylene",,"WWAL",,,"N","Y","N","ugL","HH",20000
"58","1,2,4-Trichlorobenzene",,"ColdWAL",,,"N","Y","N","ugL","HH",0.76
"58","1,2,4-Trichlorobenzene",,"CoolWAL",,,"N","Y","N","ugL","HH",0.76
"58","1,2,4-Trichlorobenzene",,"HQColdWAL",,,"N","Y","N","ugL","HH",0.76
"58","1,2,4-Trichlorobenzene",,"MCWAL",,,"N","Y","N","ugL","HH",0.76
"58","1,2,4-Trichlorobenzene",,"MWWAL",,,"N","Y","N","ugL","HH",0.76
"58","1,2,4-Trichlorobenzene",,"WWAL",,,"N","Y","N","ugL","HH",0.76
"65","1,2-Dichloroethane",,"ColdWAL",,,"N","Y","N","ugL","HH",6500
"65","1,2-Dichloroethane",,"CoolWAL",,,"N","Y","N","ugL","HH",6500
"65","1,2-Dichloroethane",,"HQColdWAL",,,"N","Y","N","ugL","HH",6500
"65","1,2-Dichloroethane",,"MCWAL",,,"N","Y","N","ugL","HH",6500
"65","1,2-Dichloroethane",,"MWWAL",,,"N","Y","N","ugL","HH",6500
"65","1,2-Dichloroethane",,"WWAL",,,"N","Y","N","ugL","HH",6500
"67","1,2-Dichloropropane",,"ColdWAL",,,"N","Y","N","ugL","HH",310
"67","1,2-Dichloropropane",,"CoolWAL",,,"N","Y","N","ugL","HH",310
"67","1,2-Dichloropropane",,"HQColdWAL",,,"N","Y","N","ugL","HH",310
"67","1,2-Dichloropropane",,"MCWAL",,,"N","Y","N","ugL","HH",310
"67","1,2-Dichloropropane",,"MWWAL",,,"N","Y","N","ugL","HH",310
"67","1,2-Dichloropropane",,"WWAL",,,"N","Y","N","ugL","HH",310
"72","1,2-Diphenylhydrazine",,"ColdWAL",,,"N","Y","N","ugL","HH",2
"72","1,2-Diphenylhydrazine",,"CoolWAL",,,"N","Y","N","ugL","HH",2
"72","1,2-Diphenylhydrazine",,"HQColdWAL",,,"N","Y","N","ugL","HH",2
"72","1,2-Diphenylhydrazine",,"MCWAL",,,"N","Y","N","ugL","HH",2
"72","1,2-Diphenylhydrazine",,"MWWAL",,,"N","Y","N","ugL","HH",2
"72","1,2-Diphenylhydrazine",,"WWAL",,,"N","Y","N","ugL","HH",2
"80","1,3-Dichloropropene",,"ColdWAL",,,"N","Y","N","ugL","HH",120
"80","1,3-Dichloropropene",,"CoolWAL",,,"N","Y","N","ugL","HH",120
"80","1,3-Dichloropropene",,"HQColdWAL",,,"N","Y","N","ugL","HH",120
"80","1,3-Dichloropropene",,"MCWAL",,,"N","Y","N","ugL","HH",120
"80","1,3-Dichloropropene",,"MWWAL",,,"N","Y","N","ugL","HH",120
"80","1,3-Dichloropropene",,"WWAL",,,"N","Y","N","ugL","HH",120
"316","2,4,6-Trichlorophenol",,"ColdWAL",,,"N","Y","N","ugL","HH",28
"316","2,4,6-Trichlorophenol",,"CoolWAL",,,"N","Y","N","ugL","HH",28
"316","2,4,6-Trichlorophenol",,"HQColdWAL",,,"N","Y","N","ugL","HH",28
"316","2,4,6-Trichlorophenol",,"MCWAL",,,"N","Y","N","ugL","HH",28
"316","2,4,6-Trichlorophenol",,"MWWAL",,,"N","Y","N","ugL","HH",28
"316","2,4,6-Trichlorophenol",,"WWAL",,,"N","Y","N","ugL","HH",28
"330","2,4-Dichlorophenol",,"ColdWAL",,,"N","Y","N","ugL","HH",60
"330","2,4-Dichlorophenol",,"CoolWAL",,,"N","Y","N","ugL","HH",60
"330","2,4-Dichlorophenol",,"HQColdWAL",,,"N","Y","N","ugL","HH",60
"330","2,4-Dichlorophenol",,"MCWAL",,,"N","Y","N","ugL","HH",60
"330","2,4-Dichlorophenol",,"MWWAL",,,"N","Y","N","ugL","HH",60
"330","2,4-Dichlorophenol",,"WWAL",,,"N","Y","N","ugL","HH",60
"331","2,4-Dimethylphenol",,"ColdWAL",,,"N","Y","N","ugL","HH",3000
"331","2,4-Dimethylphenol",,"CoolWAL",,,"N","Y","N","ugL","HH",3000
"331","2,4-Dimethylphenol",,"HQColdWAL",,,"N","Y","N","ugL","HH",3000
"331","2,4-Dimethylphenol",,"MCWAL",,,"N","Y","N","ugL","HH",3000
"331","2,4-Dimethylphenol",,"MWWAL",,,"N","Y","N","ugL","HH",3000
"331","2,4-Dimethylphenol",,"WWAL",,,"N","Y","N","ugL","HH",3000
"3029","Dinitrophenols",,"ColdWAL",,,"N","Y","N","ugL","HH",1000
"3029","Dinitrophenols",,"CoolWAL",,,"N","Y","N","ugL","HH",1000
"3029","Dinitrophenols",,"HQColdWAL",,,"N","Y","N","ugL","HH",1000
"3029","Dinitrophenols",,"MCWAL",,,"N","Y","N","ugL","HH",1000
"3029","Dinitrophenols",,"MWWAL",,,"N","Y","N","ugL","HH",1000
"3029","Dinitrophenols",,"WWAL",,,"N","Y","N","ugL","HH",1000
"332","2,4-Dinitrophenol",,"ColdWAL",,,"N","Y","N","ugL","HH",300
"332","2,4-Dinitrophenol",,"CoolWAL",,,"N","Y","N","ugL","HH",300
"332","2,4-Dinitrophenol",,"HQColdWAL",,,"N","Y","N","ugL","HH",300
"332","2,4-Dinitrophenol",,"MCWAL",,,"N","Y","N","ugL","HH",300
"332","2,4-Dinitrophenol",,"MWWAL",,,"N","Y","N","ugL","HH",300
"332","2,4-Dinitrophenol",,"WWAL",,,"N","Y","N","ugL","HH",300
"333","2,4-Dinitrotoluene",,"ColdWAL",,,"N","Y","N","ugL","HH",17
"333","2,4-Dinitrotoluene",,"CoolWAL",,,"N","Y","N","ugL","HH",17
"333","2,4-Dinitrotoluene",,"HQColdWAL",,,"N","Y","N","ugL","HH",17
"333","2,4-Dinitrotoluene",,"MCWAL",,,"N","Y","N","ugL","HH",17
"333","2,4-Dinitrotoluene",,"MWWAL",,,"N","Y","N","ugL","HH",17
"333","2,4-Dinitrotoluene",,"WWAL",,,"N","Y","N","ugL","HH",17
"358","2-Chloronaphthalene",,"ColdWAL",,,"N","Y","N","ugL","HH",1000
"358","2-Chloronaphthalene",,"CoolWAL",,,"N","Y","N","ugL","HH",1000
"358","2-Chloronaphthalene",,"HQColdWAL",,,"N","Y","N","ugL","HH",1000
"358","2-Chloronaphthalene",,"MCWAL",,,"N","Y","N","ugL","HH",1000
"358","2-Chloronaphthalene",,"MWWAL",,,"N","Y","N","ugL","HH",1000
"358","2-Chloronaphthalene",,"WWAL",,,"N","Y","N","ugL","HH",1000
"410","3,3'-Dichlorobenzidine",,"ColdWAL",,,"N","Y","N","ugL","HH",1.5
"410","3,3'-Dichlorobenzidine",,"CoolWAL",,,"N","Y","N","ugL","HH",1.5
"410","3,3'-Dichlorobenzidine",,"HQColdWAL",,,"N","Y","N","ugL","HH",1.5
"410","3,3'-Dichlorobenzidine",,"MCWAL",,,"N","Y","N","ugL","HH",1.5
"410","3,3'-Dichlorobenzidine",,"MWWAL",,,"N","Y","N","ugL","HH",1.5
"410","3,3'-Dichlorobenzidine",,"WWAL",,,"N","Y","N","ugL","HH",1.5
"454","4,6-Dinitro-o-cresol",,"ColdWAL",,,"N","Y","N","ugL","HH",30
"454","4,6-Dinitro-o-cresol",,"CoolWAL",,,"N","Y","N","ugL","HH",30
"454","4,6-Dinitro-o-cresol",,"HQColdWAL",,,"N","Y","N","ugL","HH",30
"454","4,6-Dinitro-o-cresol",,"MCWAL",,,"N","Y","N","ugL","HH",30
"454","4,6-Dinitro-o-cresol",,"MWWAL",,,"N","Y","N","ugL","HH",30
"454","4,6-Dinitro-o-cresol",,"WWAL",,,"N","Y","N","ugL","HH",30
"500","Acenaphthene",,"ColdWAL",,,"N","Y","N","ugL","HH",90
"500","Acenaphthene",,"CoolWAL",,,"N","Y","N","ugL","HH",90
"500","Acenaphthene",,"HQColdWAL",,,"N","Y","N","ugL","HH",90
"500","Acenaphthene",,"MCWAL",,,"N","Y","N","ugL","HH",90
"500","Acenaphthene",,"MWWAL",,,"N","Y","N","ugL","HH",90
"500","Acenaphthene",,"WWAL",,,"N","Y","N","ugL","HH",90
"518","Acrolein",,"ColdWAL",,,"N","Y","N","ugL","ACUTE",3
"518","Acrolein",,"ColdWAL",,,"N","Y","N","ugL","CHRONIC",3
"518","Acrolein",,"ColdWAL",,,"N","Y","N","ugL","HH",400
"518","Acrolein",,"CoolWAL",,,"N","Y","N","ugL","ACUTE",3
"518","Acrolein",,"CoolWAL",,,"N","Y","N","ugL","CHRONIC",3
"518","Acrolein",,"CoolWAL",,,"N","Y","N","ugL","HH",400
"518","Acrolein",,"HQColdWAL",,,"N","Y","N","ugL","ACUTE",3
